"","Offense","Description","Neighborhood","Precinct","UCRCode","Time","Month","Year","Date","Longitude","Latitude"
"6543","THEFT","Other Theft","DOWNTOWN WEST",1,7,"00:00:00","01","2015","2015-01-13",-93.272926,44.976681
"6544","SHOPLF","Shoplifting","LYNDALE",5,7,"12:20:00","01","2015","2015-01-13",-93.278442,44.938469
"6545","TFMV","Theft From Motr Vehc","LOWRY HILL",5,7,"18:00:00","01","2015","2015-01-13",-93.292702,44.964581
"6546","TFMV","Theft From Motr Vehc","HAWTHORNE",4,7,"11:25:00","01","2015","2015-01-13",-93.281029,45.012859
"6547","SHOPLF","Shoplifting","WHITTIER",5,7,"13:00:00","01","2015","2015-01-13",-93.277763,44.949291
"6548","BURGD","Burglary Of Dwelling","NEAR - NORTH",4,6,"00:00:00","01","2015","2015-01-13",-93.302849,44.984779
"6549","THEFT","Other Theft","DOWNTOWN WEST",1,7,"16:00:00","01","2015","2015-01-13",-93.278801,44.978889
"6550","THEFT","Other Theft","DOWNTOWN WEST",1,7,"11:30:00","01","2015","2015-01-13",-93.26786,44.9762
"6551","AUTOTH","Motor Vehicle Theft","PHILLIPS WEST",3,8,"18:00:00","01","2015","2015-01-13",-93.2686,44.960072
"6552","THEFT","Other Theft","KING FIELD",5,7,"10:00:00","01","2015","2015-01-13",-93.287788,44.937141
"6553","THEFT","Other Theft","COLUMBIA PARK",2,7,"14:40:00","01","2015","2015-01-13",-93.255089,45.032532
"6554","SHOPLF","Shoplifting","NORTHEAST PARK",2,7,"13:12:00","01","2015","2015-01-13",-93.228127,45.004391
"6555","TFMV","Theft From Motr Vehc","WHITTIER",5,7,"12:00:00","01","2015","2015-01-13",-93.27787,44.955528
"6556","THEFT","Other Theft","DOWNTOWN WEST",1,7,"15:00:00","01","2015","2015-01-13",-93.272781,44.980141
"6557","TFMV","Theft From Motr Vehc","LONGFELLOW",3,7,"22:30:00","01","2015","2015-01-11",-93.230797,44.94891
"6558","TFMV","Theft From Motr Vehc","DOWNTOWN WEST",1,7,"13:45:00","01","2015","2015-01-13",-93.277962,44.97578
"6559","THEFT","Other Theft","FOLWELL",4,7,"12:00:00","01","2015","2015-01-13",-93.304817,45.017078
"6560","THEFT","Other Theft","NORTHROP",3,7,"21:00:00","01","2015","2015-01-13",-93.2584,44.9188
"6561","THEFT","Other Theft","BOTTINEAU",2,7,"16:00:00","01","2015","2015-01-13",-93.266167,45.008541
"6562","DASLT2","2nd Deg Domes Aslt","WHITTIER",5,5,"15:50:00","01","2015","2015-01-13",-93.280838,44.95298
"6563","TFMV","Theft From Motr Vehc","WAITE PARK",2,7,"22:00:00","01","2015","2015-01-13",-93.244583,45.0298
"6564","ROBPER","Robbery Of Person","JORDAN",4,4,"16:15:00","01","2015","2015-01-13",-93.309593,45.013371
"6565","BURGD","Burglary Of Dwelling","HIAWATHA",3,6,"08:00:00","01","2015","2015-01-13",-93.20929,44.928619
"6566","TFMV","Theft From Motr Vehc","SEWARD",3,7,"16:30:00","01","2015","2015-01-13",-93.241821,44.96299
"6567","TFMV","Theft From Motr Vehc","ELLIOT PARK",1,7,"16:24:00","01","2015","2015-01-13",-93.2621,44.966869
"6568","THEFT","Other Theft","DOWNTOWN WEST",1,7,"12:00:00","01","2015","2015-01-13",-93.272926,44.976681
"6569","ASLT2","Asslt W/dngrs Weapon","POWDERHORN PARK",3,5,"19:06:00","01","2015","2015-01-13",-93.252449,44.941349
"6570","TFMV","Theft From Motr Vehc","WHITTIER",5,7,"18:30:00","01","2015","2015-01-13",-93.287666,44.949108
"6571","ROBPER","Robbery Of Person","CENTRAL",3,4,"20:00:00","01","2015","2015-01-13",-93.272751,44.93774
"6572","ROBPAG","Robbery Per Agg","DOWNTOWN WEST",1,4,"19:45:00","01","2015","2015-01-13",-93.272781,44.980141
"6573","TFMV","Theft From Motr Vehc","CEDAR RIVERSIDE",1,7,"19:00:00","01","2015","2015-01-13",-93.235893,44.965591
